Gene_ID,Brain,Spinal,Kidney,Heart,Sk_muscle,Main_EO,Sach_EO,Hunter_EO
scaffold3136.g14,1275.1,908.4,1094.1,921.7,1646.9,1747.5,1979.2,2339
scaffold3136.g15,524.3,907.8,980.4,890.3,647,731.7,630.5,731.4
scaffold3136.g16,1838.6,16402.5,23734.5,1620.6,446,597.5,1015.1,959.7
scaffold3136.g17,123.1,220.6,77.3,195,102.8,158.5,177,162.8
scaffold3136.g18,412.7,509.6,439.6,419.4,518.4,434,449.1,488.3
scaffold3136.g19,136.4,165.2,629.4,133.1,474.2,275.7,247.6,189.8
scaffold3136.g2,17.8,0,0,0,0,0,0,0
scaffold3136.g20,173.7,153.4,5584.6,453.6,174.2,132.4,123.9,198.1
scaffold3136.g21,0.9,0,57.9,0,0,0,0,0
scaffold3136.g22,271.2,319.4,369.5,487.1,705.1,321,391.3,524.6
scaffold3136.g23,105.8,7.8,562.9,2.7,18.9,22.4,64.4,33.2
scaffold3136.g24,1684.1,5394.5,8502.2,8811.1,10545.6,4666.7,4382.4,5057.6
scaffold3136.g25,734.5,502.4,519.6,455.1,489.8,274.3,394.6,481.8
scaffold3136.g26,13.5,5.3,75.2,0.8,0,0,0,0
scaffold3136.g27,219.3,145.9,354.6,202.5,143.1,294.6,186.8,230.7
scaffold3136.g28,591.9,239,22,139.2,75,105.7,118.8,51
scaffold3136.g29,1511.8,1600,1456.7,1382.6,2675.1,1795.6,1842.9,1880
scaffold3136.g3,61.1,19.1,0,0,25.8,4.8,9.6,2.6
scaffold3136.g30,1649.4,2294.6,1523.7,1336.3,3080.9,1877.9,1820.1,2273.1
scaffold3136.g31,946,756.5,720.4,1154.8,2029,1082.7,1009.1,1150.5
scaffold3136.g32,441.9,737.6,338.7,700.9,206.9,102.4,134.8,150.5
scaffold3136.g33,807.6,553.7,113.1,302.4,283.1,192.9,188.4,201.4
scaffold3136.g34,308.7,684.3,4.3,48.8,17.2,10,2,10.8
scaffold3136.g4,322.6,156.7,13.5,9.5,171.4,56.7,55.3,56.6
scaffold3136.g5,69.2,186.8,0,1.2,2.6,6,3.6,7.8
scaffold3136.g6,25.7,55.9,4.1,0.8,0,1.2,2.3,2.1
scaffold3136.g7,0.9,2,0,0,0,2.1,1,1.1
scaffold3136.g8,231.1,239,61.4,233.1,192.6,151.1,172.4,199.9
scaffold3136.g9,361.9,514.2,388.7,527.3,1621.6,974.1,973.7,859.1
scaffold3137.g1,8180.5,18738,1.7,6941.5,6.1,1,7.9,1.7
scaffold3137.g2,2322.5,8510.7,3387.3,2126.9,2921.7,4760.6,4199.7,4559.7
scaffold3137.g3,181.7,97.8,128.1,379.6,301.6,843.3,806.7,478.6
scaffold3137.g4,53,33.2,255.3,84.1,278.4,154,88,108.5
scaffold3137.g5,80.6,45.4,81.2,19,138.6,60.5,41.9,57.2
scaffold3137.g6,76.7,84.1,27.2,128.1,108.3,41.3,46.8,47
scaffold3137.g7,302.3,418.2,151.5,594.2,534,337.4,292.8,421.4
scaffold3141.g1,14.2,6.2,135.2,2.1,4.5,0,10.4,9
scaffold3141.g2,233,86.6,64.2,788.2,111.6,189.1,63.2,74.6
scaffold3141.g3,63.8,20.6,929.5,27.7,11.4,33.8,31.9,23.6
scaffold3143.g1,137.5,171.3,579.6,415.6,312.3,473.1,399.6,413
scaffold3143.g2,34,22,33,34.3,72.6,85.6,44.2,57
scaffold3147.g1,752.4,271.4,88.7,584.4,647.3,683.7,686,1022.9
scaffold3147.g2,12.6,5.6,0,0,4.6,2.8,2.1,3.1
scaffold3149.g1,4.2,4.4,31.9,9.5,5.9,7.1,9.3,7.1
scaffold3149.g2,0.7,2.4,0.9,0,3.5,0.8,2.4,4.4
scaffold3149.g3,74.9,139.3,792.3,119.3,108.9,131.7,154.4,103.7
scaffold315.g1,0,0,0,0,0,0,0,0
scaffold315.g2,0,0,3.6,0,0,0,0,0
scaffold315.g3,191.5,169.8,43.4,100.4,50,95.8,54.1,56.9
scaffold3152.g1,278.6,391.7,27.3,111.7,96,226.1,238.4,198.2
scaffold3155.g1,89.9,13.8,39.4,142.3,16.3,7.6,10.1,13.6
scaffold3158.g1,9.3,6,12.3,356.2,19,11,7.7,7.3
scaffold3158.g10,414,423,0,0.4,53,111.2,101.1,162.4
scaffold3158.g11,1026.9,691.2,90.4,1854.8,329.4,1486.3,1239.2,1316
scaffold3158.g2,24.3,34,76.2,412.7,251,43.4,86,75.6
scaffold3158.g3,1132.7,3009.8,2002.1,933.7,834.8,929.9,1373.3,906.5
scaffold3158.g4,456.1,331.1,484.7,658,982.6,1053.2,854.7,1057.1
scaffold3158.g5,10.4,11.5,567.5,2.5,4.7,13.8,15.6,27.4
scaffold3158.g6,32.3,9.5,929.1,11.6,6.8,63.6,31,59.7
scaffold3158.g7,199.6,385.6,67,127.2,384.8,900.4,748.7,1498.3
scaffold3158.g8,96,198.8,162.3,67.8,146,367,356,692.4
scaffold3158.g9,67.1,145.2,3.7,31.3,13.8,9.4,61,39.3
scaffold3164.g1,160,174,230.5,167.7,307.3,256.7,286.5,297.6
scaffold3165.g1,464.6,670.6,377.5,623.9,1486.9,157.4,184.8,290.4
scaffold3165.g2,423.8,80.3,1.3,11.6,2.6,66.2,66.7,49.9
scaffold3165.g3,89,273.3,310.9,2.8,0,7.2,7.8,4.2
scaffold3165.g4,328.8,348.3,190.9,351,237.8,223.6,191.6,213.1
scaffold3165.g5,4812.8,33248.2,851.7,361.5,131,115.2,103.7,102.7
scaffold3167.g1,0,0,0,0,0,0,0,0
scaffold3167.g2,111.1,73.4,5,89.9,840.2,458.3,429.3,415.2
scaffold3168.g1,205.7,310,6.7,7.8,35.5,214.8,134.2,205.6
